date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:04:10	710/710	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Mar%202022%2007:06:07%20GMT	https://swiftsources.com/robots.txt		(from )
08:04:10	29026/29026	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Mar%202022%2007:06:07%20GMT	https://swiftsources.com/	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/index.html	(from )
08:04:11	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/Swift%20Source/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://swiftsources.com/)
08:04:11	73641/73641	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2014:17:36%20GMT	https://swiftsources.com/css/animate.css	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/css/animate.css	(from https://swiftsources.com/)
08:04:12	5558/5558	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/apple-touch-icon-57x57.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/apple-touch-icon-57x57.png	(from https://swiftsources.com/)
08:04:14	17473/17473	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/apple-touch-icon-114x114.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/apple-touch-icon-114x114.png	(from https://swiftsources.com/)
08:04:15	8174/8174	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/apple-touch-icon-72x72.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/apple-touch-icon-72x72.png	(from https://swiftsources.com/)
08:04:16	26281/26281	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/apple-touch-icon-144x144.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/apple-touch-icon-144x144.png	(from https://swiftsources.com/)
08:04:17	6009/6009	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/apple-touch-icon-60x60.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/apple-touch-icon-60x60.png	(from https://swiftsources.com/)
08:04:17	19148/19148	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/apple-touch-icon-120x120.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/apple-touch-icon-120x120.png	(from https://swiftsources.com/)
08:04:19	9064/9064	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/apple-touch-icon-76x76.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/apple-touch-icon-76x76.png	(from https://swiftsources.com/)
08:04:20	29057/29057	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/apple-touch-icon-152x152.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/apple-touch-icon-152x152.png	(from https://swiftsources.com/)
08:04:26	42905/42905	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/favicon-196x196.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/favicon-196x196.png	(from https://swiftsources.com/)
08:04:27	12318/12318	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/favicon-96x96.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/favicon-96x96.png	(from https://swiftsources.com/)
08:04:29	2078/2078	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/favicon-32x32.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/favicon-32x32.png	(from https://swiftsources.com/)
08:04:32	806/806	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/favicon-16x16.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/favicon-16x16.png	(from https://swiftsources.com/)
08:04:34	18623/18623	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:53:44%20GMT	https://swiftsources.com/favicon-128.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/favicon-128.png	(from https://swiftsources.com/)
08:04:37	3440/3440	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2014:17:36%20GMT	https://swiftsources.com/css/owl.carousel.min.css	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/css/owl.carousel.min.css	(from https://swiftsources.com/)
08:04:40	965/965	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2014:17:36%20GMT	https://swiftsources.com/css/owl.theme.default.min.css	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/css/owl.theme.default.min.css	(from https://swiftsources.com/)
08:04:45	6950/6950	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2014:17:36%20GMT	https://swiftsources.com/css/magnific-popup.css	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/css/magnific-popup.css	(from https://swiftsources.com/)
08:04:45	1143/1143	---MCZ	200	added ('OK')	text/css	date:Tue,%2011%20Jan%202022%2014:17:36%20GMT	https://swiftsources.com/css/flaticon.css	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/css/flaticon.css	(from https://swiftsources.com/)
08:04:47	208037/208037	---MCZ	200	added ('OK')	text/css	date:Thu,%2027%20Jan%202022%2015:18:28%20GMT	https://swiftsources.com/css/style.css	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/css/style.css	(from https://swiftsources.com/)
08:04:48	49502/49502	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2027%20Mar%202022%2007:06:45%20GMT	https://swiftsources.com/cdn-cgi/challenge-platform/h/b/scripts/invisible.js?ts=1648364400	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/cdn-cgi/challenge-platform/h/b/scripts/invisiblef3cb.js	(from https://swiftsources.com/)
08:04:49	20102/20102	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2018:46:28%20GMT	https://swiftsources.com/w.png	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/w.png	(from https://swiftsources.com/)
08:04:50	14126/14126	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Mar%202022%2007:06:47%20GMT	https://swiftsources.com/case	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/case.html	(from https://swiftsources.com/)
08:04:51	13346/13346	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Mar%202022%2007:06:48%20GMT	https://swiftsources.com/testimonials	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/testimonials.html	(from https://swiftsources.com/)
08:04:52	17906/17906	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Mar%202022%2007:06:49%20GMT	https://swiftsources.com/about-us	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/about-us.html	(from https://swiftsources.com/)
08:04:52	4239/4239	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Mar%202022%2007:06:50%20GMT	https://swiftsources.com/cdn-cgi/l/email-protection	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/cdn-cgi/l/email-protection.html	(from https://swiftsources.com/)
08:04:54	73115/73115	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Jan%202022%2017:33:50%20GMT	https://swiftsources.com/images/bg_1.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/bg_1.jpg	(from https://swiftsources.com/)
08:04:55	11672/11672	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Mar%202022%2007:06:52%20GMT	https://swiftsources.com/contact.php	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/contact.html	(from https://swiftsources.com/)
08:04:56	215199/215199	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Jan%202022%2017:36:04%20GMT	https://swiftsources.com/images/bg_2.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/bg_2.jpg	(from https://swiftsources.com/)
08:04:58	249102/249102	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Jan%202022%2017:37:08%20GMT	https://swiftsources.com/images/bg_3.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/bg_3.jpg	(from https://swiftsources.com/)
08:05:00	1563446/1563446	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jan%202022%2004:04:04%20GMT	https://swiftsources.com/images/image_1.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/image_1.jpg	(from https://swiftsources.com/)
08:05:01	68249/68249	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2018:27:16%20GMT	https://swiftsources.com/images/about-2.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/about-2.jpg	(from https://swiftsources.com/)
08:05:01	31938/31938	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jan%202022%2004:17:46%20GMT	https://swiftsources.com/images/image_22.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/image_22.jpg	(from https://swiftsources.com/)
08:05:02	214018/214018	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jan%202022%2004:17:46%20GMT	https://swiftsources.com/images/image_33.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/image_33.jpg	(from https://swiftsources.com/)
08:05:03	109280/109280	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jan%202022%2014:16:50%20GMT	https://swiftsources.com/images/ch.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/ch.jpg	(from https://swiftsources.com/)
08:05:04	309069/309069	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Jan%202022%2017:34:22%20GMT	https://swiftsources.com/images/about.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/about.jpg	(from https://swiftsources.com/)
08:05:04	20661/20661	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jan%202022%2014:51:40%20GMT	https://swiftsources.com/images/dre.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/dre.jpg	(from https://swiftsources.com/)
08:05:05	19635/19635	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jan%202022%2014:22:50%20GMT	https://swiftsources.com/images/cha.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/cha.jpg	(from https://swiftsources.com/)
08:05:06	27405/27405	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Jan%202022%2014:56:50%20GMT	https://swiftsources.com/images/kate.jpg	/storage/emulated/0/HTTrack/Websites/Swift%20Source/swiftsources.com/images/kate.jpg	(from https://swiftsources.com/)
